Company,Ticker Symbol,Industry,State,Mention Count,Total Mentions
Apple,AAPL,ELECTRONIC COMPUTERS,CA,50.0,
Microsoft,MSFT,SERVICES-PREPACKAGED SOFTWARE,WA,10.0,
Alphabet (Google),GOOG,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",CA,2.0,
Berkshire Hathaway,BRK-B,"FIRE, MARINE & CASUALTY INSURANCE",NE,1.0,
JPMorgan Chase,JPM,NATIONAL COMMERCIAL BANKS,NY,3.0,
NVIDIA,NVDA,SEMICONDUCTORS & RELATED DEVICES,CA,6.0,
Meta Platforms (Facebook),META,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",CA,13.0,
Amazon,AMZN,RETAIL-CATALOG & MAIL-ORDER HOUSES,WA,44.0,
Exxon Mobil,XOM,PETROLEUM REFINING,TX,5.0,
Chevron,CVX,PETROLEUM REFINING,CA,2.0,
,,ELECTRONIC COMPUTERS,,,50.0
,,SERVICES-PREPACKAGED SOFTWARE,,,10.0
,,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",,,15.0
,,"FIRE, MARINE & CASUALTY INSURANCE",,,1.0
,,NATIONAL COMMERCIAL BANKS,,,3.0
,,SEMICONDUCTORS & RELATED DEVICES,,,6.0
,,RETAIL-CATALOG & MAIL-ORDER HOUSES,,,44.0
,,PETROLEUM REFINING,,,7.0
,,,CA,,73.0
,,,WA,,54.0
,,,NE,,1.0
,,,NY,,3.0
,,,TX,,5.0
